department,NACE,NACE_category,Company_count
01,01.13,01,3
01,01.19,01,2
01,01.21,01,1
01,01.30,01,1
01,01.42,01,1
01,01.47,01,1
01,01.49,01,1
01,01.61,01,3
01,01.62,01,3
01,02.20,02,2
01,02.40,02,3
01,03.22,03,2
01,08.12,08,7
01,08.92,08,1
01,10.11,10,4
01,10.12,10,5
01,10.13,10,2
01,10.13,10,3
01,10.20,10,1
01,10.39,10,2
01,10.51,10,1
01,10.51,10,1
01,10.51,10,3
01,10.71,10,2
01,10.71,10,2
01,10.71,10,4
01,10.71,10,5
01,10.72,10,1
01,10.73,10,1
01,10.82,10,1
01,10.83,10,1
01,10.85,10,2
01,10.86,10,1
01,10.89,10,2
01,10.91,10,3
01,11.02,11,2
01,11.07,11,1
01,13.20,13,1
01,13.30,13,2
01,13.91,13,2
01,13.96,13,4
01,13.99,13,2
01,14.13,14,1
01,14.14,14,1
01,14.19,14,1
01,15.12,15,1
01,16.10,16,1
01,16.10,16,6
01,16.23,16,3
01,16.24,16,4
01,16.29,16,2
01,17.12,17,1
01,17.21,17,1
01,17.21,17,3
01,17.21,17,4
01,17.29,17,3
01,18.12,18,8
01,18.13,18,3
01,20.12,20,2
01,20.14,20,4
01,20.15,20,1
01,20.16,20,2
01,20.20,20,1
01,20.30,20,2
01,20.42,20,1
01,20.52,20,2
01,20.53,20,1
01,20.59,20,2
01,21.20,21,2
01,22.19,22,1
01,22.21,22,2
01,22.22,22,15
01,22.23,22,3
01,22.29,22,2
01,22.29,22,2
01,23.12,23,1
01,23.13,23,1
01,23.19,23,1
01,23.20,23,1
01,23.32,23,1
01,23.61,23,8
01,23.63,23,1
01,23.64,23,2
01,23.70,23,2
01,23.91,23,1
01,24.10,24,2
01,24.33,24,1
01,24.34,24,2
01,24.45,24,4
01,24.53,24,2
01,24.54,24,1
01,25.11,25,5
01,25.12,25,5
01,25.21,25,1
01,25.50,25,9
01,25.61,25,8
01,25.62,25,2
01,25.62,25,17
01,25.73,25,2
01,25.73,25,19
01,25.92,25,1
01,25.93,25,3
01,25.94,25,1
01,25.99,25,2
01,26.11,26,3
01,26.12,26,3
01,26.51,26,2
01,27.11,27,2
01,27.12,27,2
01,27.32,27,2
01,27.33,27,3
01,27.40,27,2
01,27.52,27,2
01,27.90,27,7
01,28.13,28,2
01,28.15,28,1
01,28.21,28,1
01,28.22,28,3
01,28.25,28,3
01,28.29,28,2
01,28.29,28,2
01,28.30,28,1
01,28.49,28,1
01,28.92,28,1
01,28.93,28,5
01,28.94,28,1
01,28.96,28,2
01,28.99,28,1
01,28.99,28,4
01,29.10,29,2
01,29.20,29,8
01,29.31,29,2
01,29.32,29,4
01,30.11,30,2
01,30.92,30,1
01,31.01,31,4
01,31.02,31,1
01,31.09,31,1
01,31.09,31,3
01,32.30,32,1
01,32.40,32,2
01,32.50,32,4
01,32.50,32,5
01,32.91,32,1
01,32.99,32,2
01,33.11,33,4
01,33.12,33,3
01,33.13,33,1
01,33.14,33,2
01,33.20,33,2
01,33.20,33,3
01,33.20,33,5
01,33.20,33,5
01,35.11,35,3
01,35.12,35,1
01,35.13,35,2
01,35.22,35,1
01,35.30,35,3
01,36.00,36,4
01,37.00,37,4
01,38.11,38,6
01,38.21,38,5
01,38.22,38,2
01,38.32,38,5
01,39.00,39,3
01,41.10,41,1
01,41.10,41,2
01,41.20,41,8
01,41.20,41,10
01,42.11,42,7
01,42.12,42,2
01,42.21,42,7
01,42.22,42,3
01,42.91,42,1
01,42.99,42,2
01,43.11,43,2
01,43.12,43,3
01,43.12,43,4
01,43.13,43,2
01,43.21,43,1
01,43.21,43,8
01,43.22,43,5
01,43.22,43,14
01,43.29,43,2
01,43.29,43,3
