,src,dest,weight
25,01.11,01.50,0.9457972217342872
53,01.11,10.41,0.7505820758944742
558,01.13,01.19,0.8231916960287842
559,01.13,01.21,0.7921407843197026
560,01.13,01.22,0.8253787134636839
561,01.13,01.23,0.8288264407693184
562,01.13,01.24,0.8411829609649144
563,01.13,01.25,0.8882338434474041
564,01.13,01.26,0.8609527822500963
568,01.13,01.30,0.8005955873854543
576,01.13,01.49,0.7609932550548737
577,01.13,01.50,0.7650988436526212
578,01.13,02.10,0.8593134462366823
592,01.13,08.11,0.7924061995842644
596,01.13,08.93,0.7715156119200273
602,01.13,10.31,0.7731215879447015
603,01.13,10.32,0.7812035811812834
604,01.13,10.39,0.8718925627153744
605,01.13,10.41,0.8086198028877625
608,01.13,10.52,0.7571853861613891
609,01.13,10.61,0.8274154873646239
611,01.13,10.71,0.7811819650121761
612,01.13,10.72,0.7811819650121761
617,01.13,10.84,0.7847185448629554
619,01.13,10.86,0.7578349161051987
620,01.13,10.89,0.7577871274093503
627,01.13,11.05,0.7518755320971189
629,01.13,11.07,0.7550851753902375
630,01.13,12.00,0.7568405731438319
676,01.13,20.41,0.7526961305782136
836,01.14,01.22,0.7511608270110113
837,01.14,01.23,0.7574649909108992
872,01.14,08.93,0.7547053089372375
877,01.14,10.20,0.7532346871093942
880,01.14,10.39,0.7729366516439509
1112,01.15,01.22,0.7696840316376011
1116,01.15,01.26,0.803350664196357
1117,01.15,01.27,0.7817611486685472
1155,01.15,10.32,0.7586039050520913
1156,01.15,10.39,0.7990746030750777
1166,01.15,10.81,0.7653855947614696
1168,01.15,10.83,0.7798924542495344
1182,01.15,12.00,0.8816930664081037
1193,01.15,14.12,0.8239338363989366
1194,01.15,14.13,0.7996879463466671
1195,01.15,14.14,0.823071979555179
1199,01.15,14.39,0.8257612736617315
1200,01.15,15.11,0.7805155520296256
1256,01.15,23.51,0.7515860542966657
1459,01.16,13.10,0.9454300368947266
1658,01.19,01.13,0.8231916960287842
1667,01.19,01.25,0.9633474667276856
1682,01.19,02.10,0.9791193966196907
1934,01.21,01.13,0.7921407843197026
1941,01.21,01.23,0.805250320322782
1942,01.21,01.24,0.8390906130094947
1972,01.21,08.11,0.7561450877944262
1984,01.21,10.39,0.7738903739991252
2210,01.22,01.13,0.8253787134636839
2211,01.22,01.14,0.7511608270110113
2212,01.22,01.15,0.7696840316376011
2217,01.22,01.23,0.8171211674092407
2219,01.22,01.25,0.7659415764251915
2220,01.22,01.26,0.8498321979603611
2221,01.22,01.27,0.8109881888652499
2237,01.22,03.11,0.7756130189709394
2238,01.22,03.12,0.7756130189709394
2252,01.22,08.93,0.7545005107832026
2257,01.22,10.20,0.784183228561774
2259,01.22,10.32,0.8106174522698317
2260,01.22,10.39,0.9089638062430303
2265,01.22,10.61,0.7568097896638937
2269,01.22,10.73,0.797141179617887
2272,01.22,10.83,0.8173384194012461
2273,01.22,10.84,0.7776620684205666
2274,01.22,10.85,0.797141179617887
2286,01.22,12.00,0.8116092250264235
2299,01.22,14.14,0.7552543207466786
2303,01.22,14.39,0.7540796796299452
2377,01.22,24.41,0.7967098974305415
2486,01.23,01.13,0.8288264407693184
2487,01.23,01.14,0.7574649909108992
2491,01.23,01.21,0.805250320322782
2492,01.23,01.22,0.8171211674092407
2495,01.23,01.25,0.7661901783327286
